ID	AcceptedTaxonID	Genus	SubGenusName	SpeciesEpithet	AuthorString	InfraSpecies	InfraSpeciesMarker	InfraSpeciesAuthorString	GSDNameStatus	Sp2000NameStatus	GSDNameGUID
606	295	Encephalartos		cycadifolius		friderici-guilielmi	var.	(Lehm.) Regel		5	
607	285	Encephalartos		cycadifolius		glaber	var.	Regel		5	
601	383	Encephalartos		denisonii	(C.Moore & F.Muell.) F.Muell.					5	
648	386	Encephalartos		dyeri	F.Muell.					5	
268	319	Encephalartos		elongatus	Lehm.					5	
642	290	Encephalartos		eugene-maraisii		eugene-maraisii	subsp.			5	
291	328	Encephalartos		eugene-maraisii		middelburgensis	subsp.	Lavranos & D.L.Goode		5	
292	285	Encephalartos		eximius	I.Verd.					5	
294	341	Encephalartos		flavistrobilus	I.Turner & Sclavo					5	
596	391	Encephalartos		fraseri	(Miq.) Miq.					5	
362	296	Encephalartos		gracilis	Mast.					5	
297	288	Encephalartos		graniticola	Vorster, Robbertse & S.van der Westh.					5	
704	298	Encephalartos		gratus		gratus	var.			5	
638	324	Encephalartos		gratus		manikensis	var.	Gilliland		5	
301	300	Encephalartos		hildebrandtii		dentatus	var.	Melville		5	
643	300	Encephalartos		hildebrandtii		hildebrandtii	var.			5	
633	631	Encephalartos		horridus		hallianus	var.	(de Vriese) Miq.		5	
705	303	Encephalartos		horridus		horridus	var.			5	
635	492	Encephalartos		horridus		lanuginosus	var.	(Jacq.) Miq.		5	
634	316	Encephalartos		horridus		latifrons	var.	(Lehm.) Miq.		5	
627	331	Encephalartos		horridus		nanus	var.	(Lehm.) J.Schust.		5	
304	353	Encephalartos		horridus		trispinosus	var.	Hook.		5	
306	289	Encephalartos		imbricans	Vorster					5	
309	310	Encephalartos		kanga	Pócs & Q.Luke					5	
311	293	Encephalartos		kosiensis	Hutch.					5	
314	492	Encephalartos		lanuginosus	(Jacq.) Lehm.					5	
706	314	Encephalartos		lanuginosus		lanuginosus	var.			5	
594	352	Encephalartos		lanuginosus		tridens	var.	Miq.		5	
629	319	Encephalartos		lehmannii		dentatus	f.	Regel ex J.Schust.		5	
707	319	Encephalartos		lehmannii		lehmannii	f.			5	
630	346	Encephalartos		lehmannii		spinulosus	f.	(Lehm.) J.Schust.		5	
708	319	Encephalartos		lehmannii		lehmannii	var.			5	
641	346	Encephalartos		lehmannii		spinulosus	var.	(Lehm.) Miq.		5	
320	336	Encephalartos		lemarinelianus	De Wild. & T.Durand					5	
593	321	Encephalartos		longifolius		angustifolius	var.	Miq.		5	
662	272	Encephalartos		longifolius		hookeri	var.	Miq.		5	
608	321	Encephalartos		longifolius		latifolius	var.	Regel		5	
709	321	Encephalartos		longifolius		longifolius	var.			5	
592	321	Encephalartos		longifolius		revolutus	var.	Miq.		5	
603	400	Encephalartos		macdonnellii	F.Muell. ex Miq.					5	
325	272	Encephalartos		marumii	de Vriese					5	
327	321	Encephalartos		mauritianus	Miq.					5	
639	404	Encephalartos		miquelii	F.Muell.					5	
640	406	Encephalartos		moorei	(F.Muell.) F.Muell.					5	
331	303	Encephalartos		nanus	Lehm.					5	
600	420	Encephalartos		oldfieldii	Miq.					5	
602	411	Encephalartos		pauli-guilielmi	(W.Hill & F.Muell.) F.Muell.					5	
597	599	Encephalartos		preisii	(Lehm.) F.Muell.					5	
650	272	Encephalartos		regalis	W.Bull					5	
