AcceptedTaxonID	Kingdom	Phylum	Class	Order	Superfamily	Family	Genus	SubGenusName	SpeciesEpithet	AuthorString	GSDNameStatus	Sp2000NameStatus	IsExtinct	HasPreHolocene	HasModern	LifeZone	AdditionalData	LTSSpecialists	LTSDate	SpeciesURL	GSDTaxonGUID	GSDNameGUID
66	Plantae	Tracheophyta	Cycadopsida			Cycadaceae	Cycas		basaltica	C.A.Gardner		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
67	Plantae	Tracheophyta	Cycadopsida			Cycadaceae	Cycas		beddomei	Dyer		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
68	Plantae	Tracheophyta	Cycadopsida			Cycadaceae	Cycas		bellefontii	L.Linden & Rodigas		4	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
69	Plantae	Tracheophyta	Cycadopsida			Cycadaceae	Cycas		bifida	(Dyer) K.D.Hill		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
571	Plantae	Tracheophyta	Cycadopsida			Cycadaceae	Cycas		bifida x C. dolichophylla			1	0	0	1		Hybrid formula: Cycas bifida x C. dolichophylla	Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
570	Plantae	Tracheophyta	Cycadopsida			Cycadaceae	Cycas		bifida x C. multipinnata			1	0	0	1		Hybrid formula: Cycas bifida x C. multipinnata	Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
70	Plantae	Tracheophyta	Cycadopsida			Cycadaceae	Cycas		bougainvilleana	K.D.Hill		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
71	Plantae	Tracheophyta	Cycadopsida			Cycadaceae	Cycas		brachycantha	K.D.Hill, T.H.Nguyên & P.K.Lôc		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
73	Plantae	Tracheophyta	Cycadopsida			Cycadaceae	Cycas		brunnea	K.D.Hill		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
75	Plantae	Tracheophyta	Cycadopsida			Cycadaceae	Cycas		cairnsiana	F.Muell.		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
76	Plantae	Tracheophyta	Cycadopsida			Cycadaceae	Cycas		calcicola	Maconochie		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
77	Plantae	Tracheophyta	Cycadopsida			Cycadaceae	Cycas		campestris	K.D.Hill		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
79	Plantae	Tracheophyta	Cycadopsida			Cycadaceae	Cycas		canalis	K.D.Hill		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
80	Plantae	Tracheophyta	Cycadopsida			Cycadaceae	Cycas		candida	K.D.Hill		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
81	Plantae	Tracheophyta	Cycadopsida			Cycadaceae	Cycas		cantafolia	Jutta, K.L.Chew & Saw		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
83	Plantae	Tracheophyta	Cycadopsida			Cycadaceae	Cycas		chamaoensis	K.D.Hill		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
85	Plantae	Tracheophyta	Cycadopsida			Cycadaceae	Cycas		changjiangensis	N.Liu		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
665	Plantae	Tracheophyta	Cycadopsida			Cycadaceae	Cycas		chenii	X.Gong & Wei Zhou		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
86	Plantae	Tracheophyta	Cycadopsida			Cycadaceae	Cycas		chevalieri	Leandri		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
87	Plantae	Tracheophyta	Cycadopsida			Cycadaceae	Cycas		circinalis	L.		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
107	Plantae	Tracheophyta	Cycadopsida			Cycadaceae	Cycas		clivicola	K.D.Hill		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
109	Plantae	Tracheophyta	Cycadopsida			Cycadaceae	Cycas		collina	K.D.Hill, T.H.Nguyên & P.K.Lôc		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
110	Plantae	Tracheophyta	Cycadopsida			Cycadaceae	Cycas		condaoensis	K.D.Hill & S.L.Yang		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
111	Plantae	Tracheophyta	Cycadopsida			Cycadaceae	Cycas		conferta	Chirgwin ex Chirgwin & Wigston		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
112	Plantae	Tracheophyta	Cycadopsida			Cycadaceae	Cycas		couttsiana	K.D.Hill		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
114	Plantae	Tracheophyta	Cycadopsida			Cycadaceae	Cycas		cupida	P.I.Forst.		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
115	Plantae	Tracheophyta	Cycadopsida			Cycadaceae	Cycas		curranii	(J.Schust.) K.D.Hill		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
792	Plantae	Tracheophyta	Cycadopsida			Cycadaceae	Cycas		darshii	R.C.Srivast. & Jana		4	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
116	Plantae	Tracheophyta	Cycadopsida			Cycadaceae	Cycas		debaoensis	Y.C.Zhong & C.J.Chen		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
117	Plantae	Tracheophyta	Cycadopsida			Cycadaceae	Cycas		desolata	P.I.Forst.		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
118	Plantae	Tracheophyta	Cycadopsida			Cycadaceae	Cycas		diannanensis	Z.T.Guan & G.D.Tao		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
820	Plantae	Tracheophyta	Cycadopsida			Cycadaceae	Cycas		distans	P.I.Forst. & B.Gray		1	0	0	1			Calonje M., Stanberg L. & Stevenson D.	2019-02-15			
