ReferenceID	Authors	Year	Title	Details
Cyd-Ref-40	D.W.Stev.	1982		In: Brittonia 34(2): 181-184, figs. 1-2
Cyd-Ref-41	Miq.	1847		In: Tijdschr. Wis-Natuurk. Wetensch. Eerste Kl. Kon. Ned. Inst. Wetensch. 1(1): 42-43
Cyd-Ref-42	Vovides, Vázq.Torres, Schutzman & Iglesias	1993		In: Novon 3(4): 502-504, fig. 1
Cyd-Ref-43	Pérez-Farr. & Vovides	2009		In: Syst. Biodivers. 7(4): 433-443, figs. 3, 7
Cyd-Ref-817	Mart.-Domínguez & Nic.-Mor.	2016		In: Phytotaxa 268(1): 25-45
Cyd-Ref-793	D.W.Stev. & Vovides	2016		In: Bot. Sci. 94(2): 419-429
Cyd-Ref-814	Mart.-Domínguez & Nic.-Mor.	2017		In: Brittonia 69(4): 518. [epublished 31 May 2017]
Cyd-Ref-44	Pérez-Farr. & Iglesias	2007		In: Bot. J. Linn. Soc. 153(4): 393-400, figs. 1-6
Cyd-Ref-45	Chemnick & T.J.Greg.	1996		In: Phytologia 79(1): 51-57 (1995 publ. 1996)
Cyd-Ref-46	Medellín	1963		In: Brittonia 15(2): 175-176, figs. 1-4
Cyd-Ref-47	Pérez-Farr., Vovides & Iglesias	2001		In: Bot. J. Linn. Soc. 137(1): 77-80, fig.1
Cyd-Ref-49	D.W.Stev.	1990		In: Mem. New York Bot. Gard. 57: 169-172, fig. 1i
Cyd-Ref-50	D.W.Stev.	1990		In: Mem. New York Bot. Gard. 57: 169-172, figs. 1a-h
Cyd-Ref-52	K.D.Hill & T.H.Nguyên	2004		In: Bot. Rev. (Lancaster) 70(2): 149-150
Cyd-Ref-53	Hung T.Chang, Y.C.Zhong & Z.F.Lu	1998		In: Acta Sci. Nat. Univ. Sunyatseni 37(4): 6
Cyd-Ref-54	K.D.Hill & A.Lindstr.	2008		In: Telopea 12(1): 130-132, fig. 3
Cyd-Ref-795	K.Prassad, M.V.Ramana, Sanjappa & B.R.P.Rao	2015		In: Int. J. Innov. Sci. Res. 4 (1): 473-476
Cyd-Ref-55	R.Br.	1810		In: Prodr. Fl. Nov. Holland. 1: 348
Cyd-Ref-56	Rita Singh & P.Radha	2006		In: Brittonia 58(2): 119-123, figs. 1-2
Cyd-Ref-57	K.D.Hill	1994		In: Austral. Syst. Bot. 7(6): 553-554, fig. 9
Cyd-Ref-58	K.D.Hill	1993		In: Telopea 5(2): 419-422
Cyd-Ref-59	Miq.	1868		In: Arch. Néerl. Sci. Exact. Nat. 3: 235-236
Cyd-Ref-60	K.D.Hill	1994		In: Telopea 5(4): 693-696, fig. 1
Cyd-Ref-574		1996		In: Telopea 7(1): 43-44
Cyd-Ref-61	Chirgwin & K.D.Hill	1996		In: Telopea 7(1): 44-46, fig. 20
Cyd-Ref-62	K.D.Hill	1996		In: Telopea 7(1): 46-47, fig. 21
Cyd-Ref-63	K.D.Hill	1996		In: Telopea 7(1): 20-21, fig. 9
Cyd-Ref-64	L.K.Fu & S.Z.Cheng	1981		In: Acta Phytotax. Sin. 19(3): 337
Cyd-Ref-829	Y.Y.Huang, Y.C.Zhong & Z.F.Lu	2018		In: Mem. New York Bot. Gard. 117: 504518
Cyd-Ref-65	Warb.	1900		In: Monsunia 1: 179
Cyd-Ref-66	C.A.Gardner	1923		In: For. Dep. Bull., W. Austral. 32: 31
Cyd-Ref-67	Dyer	1885		In: Trans. Linn. Soc. London, Bot. 2(5): 85-86, pl. 17
Cyd-Ref-68	L.Linden & Rodigas	1886		In: Ill. Hort. 33: 27, pl. 586
Cyd-Ref-69	K.D.Hill	2004		In: Bot. Rev. (Lancaster) 70(2): 161-163
Cyd-Ref-571		2008		In: Telopea 12(1): 104
Cyd-Ref-570		2008		In: Telopea 12(1): 104
