ID	citation	title	year	source	doi	link
683			1994	Telopea 5(4): 698-700, fig. 4a-d		
78			1994	Telopea 5(4) : 699-700, fig. 4e-g		
80			2004	Telopea 10(2): 607-611, figs. 1-2		
81			2010	Blumea 55(3): 249-252, figs. 1-2		
82			1839	Bull. Sci. Phys. Nat. Néerl. 1839: 45		
83			1999	Brittonia 51(1): 58, fig. 6		
84			1925	Philipp. J. Sci. 26: 47-48, pls 1-2, fig. 1		
85			1998	Acta Phytotax. Sin. 36(6): 552-554, fig. 1		
665			2015	J. Syst. Evol. 53(6): 497. [epublished 15 Apr 2015]		
86			1931	Fl. Indo-Chine 5(10): 1092		
87			1753	Sp. Pl. 2: 1188		
684			1932	in Engler, Pflanzenr. 99: 66		
88			1932	in Engler, Pflanzenr. 99: 66		
89			1932	in Engler, Pflanzenr. 99: 66		
90			1932	in Engler, Pflanzenr. 99: 66		
685			1908	Pflanzenw. Ost-Afrikas 2(1): 82		
91			1932	in Engler, Pflanzenr. 99: 73		
722			1932	in Engler, Pflanzenr. 99: 74		
92			1932	in Engler, Pflanzenr. 99: 74		
93			1932	in Engler, Pflanzenr. 99: 70		
723			1932	in Engler, Pflanzenr. 99: 70		
94			1932	in Engler, Pflanzenr. 99: 70		
95			1932	in Engler, Pflanzenr. 99: 68		
96			1932	in Engler, Pflanzenr. 99: 69		
97			1932	in Engler, Pflanzenr. 99: 69		
98			1932	in Engler, Pflanzenr. 99: 69		
99			1932	in Engler, Pflanzenr. 99: 69		
724			1932	in Engler, Pflanzenr. 99: 69		
100			1932	in Engler, Pflanzenr. 99: 71, 73		
101			1908	Pflanzenw. Ost-Afrikas 2(1): 82		
726			1932	in Engler, Pflanzenr. 99: 66-67		
102			1932	in Engler, Pflanzenr. 99: 67		
103			1932	in Engler, Pflanzenr. 99: 68		
725			1932	in Engler, Pflanzenr. 99: 67		
104			1840	Comm. Phytogr.: 119		
686			1840	Comm. Phytogr.: 119		
105			1842	Monogr. Cycad.: 28. t. 1, figs. t, u, t II, fig. e1		
106			1924	Bot. Bihar Orissa 6: 1228		
107			1999	Brittonia 51(1): 62-63, fig. 8a-d, g-h		
687			1999	Brittonia 51(1): 64		
108			1999	Brittonia 51(1): 64, fig. 8e,f,i		
109			2004	Bot. Rev. (Lancaster) 70(2): 142-144, fig. 2		
797			1888	Bull. Soc. Bot. France 35: 246		
110			2004	Bot. Rev. (Lancaster) 70(2): 178-179, fig. 14		
111			1993	J. Adelaide Bot. Gard. 15(2): 147		
112			1992	Telopea 5(1): 197-198, fig. 13		
113			1999	Acta Sci. Nat. Univ. Sunyatseni 38(3): 121122		
114			2001	Austrobaileya 6(1): 153, figs. 1-5		
115			1995	Proc. Third Int. Conf. Cycad Biol.: 150		
792			2014	Indian J. Pl. Sci. [Jaipur] 3(2): 151-153, t. II		
116			1997	Acta Phytotax. Sin. 35(6): 571		
117			1995	Austrobaileya 4(3): 345-352, figs. 1-5		
812			2017	Nordic J. Bot. 35(1): 6976. doi:10.1111/njb.01284		
118			1995	Sichuan Forest. Surv. Design 1995(4): 1		
820			2017	Austrobaileya 10(1): 74-84		
119			2004	Bot. Rev. (Lancaster) 70(2): 157-160, fig. 7		
120			1998	Blumea 43(2): 372		
121			2003	Brittonia 54(4): 301, fig. 3 (2002 publ. 2003)		
122			1996	Cycads China: 51		
123			1996	Cycads China: 54		
124			1999	Kew Bull. 54(1): 209		
125			1994	Guihaia 14(4): 300, fig. 1		
