taxonID	area	gazetteer	status	threatStatus
526	Colombia (Antioquia, Chocó, Valle del Cauca), Costa Rica (Puntarenas), Panama (Darién, Panamá)	text		NT
527		text		
528	Colombia (Risaralda)	text		DD, [EN]
529	Honduras (Cortés)	text		[CR]
530	Honduras (Atlántida)	text		VU
531		text		
532		text		
582		text		
830		text		[EN]
533	Mexico (Colima, Guerrero, Jalisco, Michoacán, Nayarit, Oaxaca)	text		NT
534		text		
535	Brazil (Acre), Peru (Amazonas, Huánuco, Loreto, Pasco, San Martin, Ucayali)	text		NT
536		text		
537	W Puerto Rico	text		EN
538		text		
539	Belize (Belize, Cayo, Orange Walk, Stann Creek, Toledo), Guatemala (Petén), Mexico (Campeche, Chiapas, Tabasco, Quintana Roo, Yucatán)	text		[NT], List
654		text		
48	Costa Rica (Puntarenas), Panama (Chiriquí)	text		NT
540	Costa Rica (Puntarenas), Panama (Chiriquí)	text		NT
541	Panama (Bocas del Toro, Coclé, Colón, Veraguas)	text		NT
542	Cuba, Dominican Republic, Puerto Rico	text		NT
819		text		
783		text		
543		text		
544	Mexico (Oaxaca, Veracruz)	text		CR
545	Cuba (W Cuba, Isla de la Juventud)	text		CR
784		text		
785		text		
786		text		
546	Colombia (Chocó)	text		[CR]
547	Colombia (Córdoba)	text		CR
548	Colombia (Chocó, Nariño, Valle del Cauca), Ecuador (Esmeraldas, Imbabura)	text		NT
549	Honduras (Atlántida)	text		NT
550		text		
551		text		
552	Panama (Bocas del Toro)	text		EN
553	Mexico (Chiapas)	text		VU
554	Mexico (Oaxaca)	text		CR
580		text		
555	Mexico (Chiapas, Tabasco, Veracruz)	text		EN
556	Guatemala (Izabal), Honduras (Atlántida, Colón, Cortés, Olancho, Santa Barbara, Yoro)	text		VU
557	Panama (Panamá)	text		[CR]
558	Cuba (Oriente)	text		VU
559		text		
729		text		
560		text		
561	Colombia (Tolima)	text		[CR]
581		text		
587		text		
562	Guatemala (Alta Verapaz)	text		NT
563	Bolivia (Pando), Brazil (Acre, Amazonas, Rondônia), Colombia (Amazonas, Caquetá, Guainía, Putumayo, Vaupés), Ecuador (Napo, Pastaza, Sucumbíos), Peru (Loreto, Madre de Dios, Ucayali)	text		NT
652		text		
721		text		
564		text		
565	Peru (Huánuco)	text		CR
566	Belize (Toledo), Guatemala (Alta Verapaz, Izabal), Mexico (Chiapas)	text		EN
567	Mexico (Veracruz)	text		CR
568		text		
569		text		
8	Colombia (Antioquia)	text		CR
1		text		
13		text		
