ID	nameID	provisional	accordingTo	accordingToID	accordingToDate	fossil	recent	lifezone	link	kingdom	phylum	class	order	genus	family
77	77	0	Calonje M., Stevenson D.W., Osborne R.	0000-0001-9650-3136; 0000-0002-2986-7076; 	2019-02-15	0	1	terrestrial	http://cycadlist.org/taxon.php?Taxon_ID=77	Plantae	Tracheophyta	Cycadopsida	Cycadales	Cycas	Cycadaceae
79	79	0	Calonje M., Stevenson D.W., Osborne R.	0000-0001-9650-3136; 0000-0002-2986-7076; 	2019-02-15	0	1	terrestrial	http://cycadlist.org/taxon.php?Taxon_ID=79	Plantae	Tracheophyta	Cycadopsida	Cycadales	Cycas	Cycadaceae
80	80	0	Calonje M., Stevenson D.W., Osborne R.	0000-0001-9650-3136; 0000-0002-2986-7076; 	2019-02-15	0	1	terrestrial	http://cycadlist.org/taxon.php?Taxon_ID=80	Plantae	Tracheophyta	Cycadopsida	Cycadales	Cycas	Cycadaceae
81	81	0	Calonje M., Stevenson D.W., Osborne R.	0000-0001-9650-3136; 0000-0002-2986-7076; 	2019-02-15	0	1	terrestrial	http://cycadlist.org/taxon.php?Taxon_ID=81	Plantae	Tracheophyta	Cycadopsida	Cycadales	Cycas	Cycadaceae
83	83	0	Calonje M., Stevenson D.W., Osborne R.	0000-0001-9650-3136; 0000-0002-2986-7076; 	2019-02-15	0	1	terrestrial	http://cycadlist.org/taxon.php?Taxon_ID=83	Plantae	Tracheophyta	Cycadopsida	Cycadales	Cycas	Cycadaceae
85	85	0	Calonje M., Stevenson D.W., Osborne R.	0000-0001-9650-3136; 0000-0002-2986-7076; 	2019-02-15	0	1	terrestrial	http://cycadlist.org/taxon.php?Taxon_ID=85	Plantae	Tracheophyta	Cycadopsida	Cycadales	Cycas	Cycadaceae
665	665	0	Calonje M., Stevenson D.W., Osborne R.	0000-0001-9650-3136; 0000-0002-2986-7076; 	2019-02-15	0	1	terrestrial	http://cycadlist.org/taxon.php?Taxon_ID=665	Plantae	Tracheophyta	Cycadopsida	Cycadales	Cycas	Cycadaceae
86	86	0	Calonje M., Stevenson D.W., Osborne R.	0000-0001-9650-3136; 0000-0002-2986-7076; 	2019-02-15	0	1	terrestrial	http://cycadlist.org/taxon.php?Taxon_ID=86	Plantae	Tracheophyta	Cycadopsida	Cycadales	Cycas	Cycadaceae
87	87	0	Calonje M., Stevenson D.W., Osborne R.	0000-0001-9650-3136; 0000-0002-2986-7076; 	2019-02-15	0	1	terrestrial	http://cycadlist.org/taxon.php?Taxon_ID=87	Plantae	Tracheophyta	Cycadopsida	Cycadales	Cycas	Cycadaceae
89	89	1	Calonje M., Stevenson D.W., Osborne R.	0000-0001-9650-3136; 0000-0002-2986-7076; 	2019-02-15	0	1	terrestrial	http://cycadlist.org/taxon.php?Taxon_ID=89	Plantae	Tracheophyta	Cycadopsida	Cycadales	Cycas	Cycadaceae
107	107	0	Calonje M., Stevenson D.W., Osborne R.	0000-0001-9650-3136; 0000-0002-2986-7076; 	2019-02-15	0	1	terrestrial	http://cycadlist.org/taxon.php?Taxon_ID=107	Plantae	Tracheophyta	Cycadopsida	Cycadales	Cycas	Cycadaceae
109	109	0	Calonje M., Stevenson D.W., Osborne R.	0000-0001-9650-3136; 0000-0002-2986-7076; 	2019-02-15	0	1	terrestrial	http://cycadlist.org/taxon.php?Taxon_ID=109	Plantae	Tracheophyta	Cycadopsida	Cycadales	Cycas	Cycadaceae
110	110	0	Calonje M., Stevenson D.W., Osborne R.	0000-0001-9650-3136; 0000-0002-2986-7076; 	2019-02-15	0	1	terrestrial	http://cycadlist.org/taxon.php?Taxon_ID=110	Plantae	Tracheophyta	Cycadopsida	Cycadales	Cycas	Cycadaceae
111	111	0	Calonje M., Stevenson D.W., Osborne R.	0000-0001-9650-3136; 0000-0002-2986-7076; 	2019-02-15	0	1	terrestrial	http://cycadlist.org/taxon.php?Taxon_ID=111	Plantae	Tracheophyta	Cycadopsida	Cycadales	Cycas	Cycadaceae
112	112	0	Calonje M., Stevenson D.W., Osborne R.	0000-0001-9650-3136; 0000-0002-2986-7076; 	2019-02-15	0	1	terrestrial	http://cycadlist.org/taxon.php?Taxon_ID=112	Plantae	Tracheophyta	Cycadopsida	Cycadales	Cycas	Cycadaceae
114	114	0	Calonje M., Stevenson D.W., Osborne R.	0000-0001-9650-3136; 0000-0002-2986-7076; 	2019-02-15	0	1	terrestrial	http://cycadlist.org/taxon.php?Taxon_ID=114	Plantae	Tracheophyta	Cycadopsida	Cycadales	Cycas	Cycadaceae
