SPNUMBER	TAXSTAT	SYNOF	SYNCAT	FAMILY	SPECIES	GENUS	SP1	AUTHOR1	RANK1	SP2	AUTHOR2	RANK2	SP3	AUTHOR3	RANK3	SP4	AUTHOR4	CITATION	YEAR	IUCN	COUNTRY
35	acc	0		Zamiaceae	Ceratozamia microstrobila	Ceratozamia	microstrobila	Vovides & J.D.Rees										Madroño 30(1): 39-42	1983	VU	Mexico (San Luis Potosí)
36	acc	0		Zamiaceae	Ceratozamia miqueliana	Ceratozamia	miqueliana	H.Wendl.										Index Palm.: 68	1854	CR	Mexico (Chiapas, Tabasco, Veracruz)
37	acc	0		Zamiaceae	Ceratozamia mirandae	Ceratozamia	mirandae	Vovides, Pérez-Farr. & Iglesias										Bot. J. Linn. Soc. 137(1): 81-85, fig. 1-2	2001	EN	Mexico (Chiapas)
38	acc	0		Zamiaceae	Ceratozamia mixeorum	Ceratozamia	mixeorum	Chemnick, T.J.Greg. & Salas-Mor.										Phytologia 83(1): 47-52 (1997 publ. 1998)	1998	EN	Mexico (Oaxaca)
39	acc	0		Zamiaceae	Ceratozamia morettii	Ceratozamia	morettii	Vázq.Torres & Vovides										Novon 8(1): 87-90, fig. 1	1998	EN	Mexico (Veracruz)
40	acc	0		Zamiaceae	Ceratozamia norstogii	Ceratozamia	norstogii	D.W.Stev.										Brittonia 34(2): 181-184, figs. 1-2	1982	EN	Mexico (Chiapas, Oaxaca)
41	acc	0		Zamiaceae	Ceratozamia robusta	Ceratozamia	robusta	Miq.										Tijdschr. Wis-Natuurk. Wetensch. Eerste Kl. Kon. Ned. Inst. Wetensch. 1(1): 42-43	1847	EN	Belize (Cayo, Stann Creek, Toledo), Guatemala (Alta Verapaz, Petén, Quiché, Huehuetenango, Izabal), Mexico (Chiapas, Oaxaca, Veracruz)
42	acc	0		Zamiaceae	Ceratozamia sabatoi	Ceratozamia	sabatoi	Vovides, Vázq.Torres, Schutzman & Iglesias										Novon 3(4): 502-504, fig. 1	1993	EN	Mexico (Hidalgo, Querétaro)
43	acc	0		Zamiaceae	Ceratozamia santillanii	Ceratozamia	santillanii	Pérez-Farr. & Vovides										Syst. Biodivers. 7(4): 433-443, figs. 3, 7	2009	[CR]	Mexico (Chiapas)
817	acc	0		Zamiaceae	Ceratozamia subroseophylla	Ceratozamia	subroseophylla	Mart.-Domínguez & Nic.-Mor.										Phytotaxa 268(1): 25-45	2016	[NE]	Mexico (Veracruz)
793	acc	0		Zamiaceae	Ceratozamia tenuis	Ceratozamia	tenuis	(Dyer) D.W.Stev. & Vovides										Bot. Sci. 94(2): 419-429	2016	[NE}	Mexico (Veracruz)
814	acc	0		Zamiaceae	Ceratozamia totonacorum	Ceratozamia	totonacorum	Mart.-Domínguez & Nic.-Mor.										Brittonia 69(4): 518. [epublished 31 May 2017]	2017	[NE]	Mexico (Puebla)
44	acc	0		Zamiaceae	Ceratozamia vovidesii	Ceratozamia	vovidesii	Pérez-Farr. & Iglesias										Bot. J. Linn. Soc. 153(4): 393-400, figs. 1-6	2007	VU	Mexico (Chiapas)
45	acc	0		Zamiaceae	Ceratozamia whitelockiana	Ceratozamia	whitelockiana	Chemnick & T.J.Greg.										Phytologia 79(1): 51-57 (1995 publ. 1996)	1996	EN	Mexico (Oaxaca)
46	acc	0		Zamiaceae	Ceratozamia zaragozae	Ceratozamia	zaragozae	Medellín										Brittonia 15(2): 175-176, figs. 1-4	1963	CR	Mexico (San Luis Potosí)
47	acc	0		Zamiaceae	Ceratozamia zoquorum	Ceratozamia	zoquorum	Pérez-Farr., Vovides & Iglesias										Bot. J. Linn. Soc. 137(1): 77-80, fig.1	2001	CR	Mexico (Chiapas, Tabasco)
49	syn	547	het	Zamiaceae	Chigua bernalii	Chigua	bernalii	D.W.Stev.										Mem. New York Bot. Gard. 57: 169-172, fig. 1i	1990		
50	syn	547	bas	Zamiaceae	Chigua restrepoi	Chigua	restrepoi	D.W.Stev.										Mem. New York Bot. Gard. 57: 169-172, figs. 1a-h	1990		
52	acc	0		Cycadaceae	Cycas aculeata	Cycas	aculeata	K.D.Hill & T.H.Nguyên										Bot. Rev. (Lancaster) 70(2): 149-150	2004	VU	Vietnam (Da Nang)
53	syn	207	het	Cycadaceae	Cycas acuminatissima	Cycas	acuminatissima	Hung T.Chang, Y.C.Zhong & Z.F.Lu										Acta Sci. Nat. Univ. Sunyatseni 37(4): 6	1998		
54	acc	0		Cycadaceae	Cycas aenigma	Cycas	aenigma	K.D.Hill & A.Lindstr.										Telopea 12(1): 130-132, fig. 3	2008	[DD]	Philippines (Palawan - cult.)
795	syn	595	het	Cycadaceae	Cycas andamanica	Cycas	andamanica	K.Prassad, M.V.Ramana, Sanjappa & B.R.P.Rao										Int. J. Innov. Sci. Res. 4 (1): 473-476	2015		
55	acc	0		Cycadaceae	Cycas angulata	Cycas	angulata	R.Br.										Prodr. Fl. Nov. Holland. 1: 348	1810	LC	Australia (Northern Territory, Queensland)
56	acc	0		Cycadaceae	Cycas annaikalensis	Cycas	annaikalensis	Rita Singh & P.Radha										Brittonia 58(2): 119-123, figs. 1-2	2006	CR	India (Kerala)
57	acc	0		Cycadaceae	Cycas apoa	Cycas	apoa	K.D.Hill										Austral. Syst. Bot. 7(6): 553-554, fig. 9	1994	NT	Indonesia (Papua), Papua New Guinea (West Sepik, Morobe)
58	acc	0		Cycadaceae	Cycas arenicola	Cycas	arenicola	K.D.Hill										Telopea 5(2): 419-422	1993	NT	Australia (Northern Territory)
59	acc	0		Cycadaceae	Cycas armstrongii	Cycas	armstrongii	Miq.										Arch. Néerl. Sci. Exact. Nat. 3: 235-236	1868	VU	Australia (Northern Territory)
60	acc	0		Cycadaceae	Cycas arnhemica	Cycas	arnhemica	K.D.Hill										Telopea 5(4): 693-696, fig. 1	1994	LC	Australia (Northern Territory)
574	acc	0		Cycadaceae	Cycas arnhemica subsp. arnhemica	Cycas	arnhemica	K.D.Hill	subsp.	arnhemica								Telopea 7(1): 43-44	1996	LC	Australia (Northern Territory)
61	acc	0		Cycadaceae	Cycas arnhemica subsp. muninga	Cycas	arnhemica	K.D.Hill	subsp.	muninga	Chirgwin & K.D.Hill							Telopea 7(1): 44-46, fig. 20	1996	LC	Australia (Northern Territory)
62	acc	0		Cycadaceae	Cycas arnhemica subsp. natja	Cycas	arnhemica	K.D.Hill	subsp.	natja	K.D.Hill							Telopea 7(1): 46-47, fig. 21	1996	LC	Australia (Northern Territory)
63	acc	0		Cycadaceae	Cycas badensis	Cycas	badensis	K.D.Hill										Telopea 7(1): 20-21, fig. 9	1996	NT	Australia (Queensland [Badu and Moa Islands])
64	syn	180	het	Cycadaceae	Cycas baguanheensis	Cycas	baguanheensis	L.K.Fu & S.Z.Cheng										Acta Phytotax. Sin. 19(3): 337	1981		
829	acc	0		Cycadaceae	Cycas baiseensis	Cycas	baiseensis	Y.Y.Huang, Y.C.Zhong & Z.F.Lu										Mem. New York Bot. Gard. 117: 504518	2018	[NE]	China (Guangxi)
65	acc	0		Cycadaceae	Cycas balansae	Cycas	balansae	Warb.										Monsunia 1: 179	1900	NT	China (Guangxi), Vietnam (Lang Son, Quang Ninh, Thai Nguyen, Vinh Phuc)
66	acc	0		Cycadaceae	Cycas basaltica	Cycas	basaltica	C.A.Gardner										For. Dep. Bull., W. Austral. 32: 31	1923	LC	Australia (WA)
67	acc	0		Cycadaceae	Cycas beddomei	Cycas	beddomei	Dyer										Trans. Linn. Soc. London, Bot. 2(5): 85-86, pl. 17	1885	EN	India (Andhra Pradesh)
68	dub	0		Cycadaceae	Cycas bellefontii	Cycas	bellefontii	L.Linden & Rodigas										Ill. Hort. 33: 27, pl. 586	1886		
69	acc	0		Cycadaceae	Cycas bifida	Cycas	bifida	(Dyer) K.D.Hill										Bot. Rev. (Lancaster) 70(2): 161-163	2004	VU	China (Guangxi), Vietnam (Cao Bang, Lang Son, Tuyen Quang)
571	hyb	0		Cycadaceae	Cycas bifida x C. dolichophylla	Cycas	bifida x C. dolichophylla											Telopea 12(1): 104	2008		
570	hyb	0		Cycadaceae	Cycas bifida x C. multipinnata	Cycas	bifida x C. multipinnata											Telopea 12(1): 104	2008		
70	acc	0		Cycadaceae	Cycas bougainvilleana	Cycas	bougainvilleana	K.D.Hill										Austral. Syst. Bot. 7(6): 557-560, fig. 11	1994	NT	Papua New Guinea (Bougainville, New Britain), Solomon Islands
71	acc	0		Cycadaceae	Cycas brachycantha	Cycas	brachycantha	K.D.Hill, T.H.Nguyên & P.K.Lôc										Bot. Rev. (Lancaster) 70(2): 155-157, fig. 6	2004	NT	Vietnam (Bac Kan)
72	syn	210	het	Cycadaceae	Cycas brevipinnata	Cycas	brevipinnata	Hung T.Chang, Y.Y.Huang & Y.C.Zhong										Acta Sci. Nat. Univ. Sunyatseni 37(4): 8	0		
73	acc	0		Cycadaceae	Cycas brunnea	Cycas	brunnea	K.D.Hill										Telopea 5(1): 200-201, fig. 15	1992	NT	Australia (Queensland)
74	syn	280	bas	Cycadaceae	Cycas caffra	Cycas	caffra	Thunb.										Nova Acta Regiae Soc. Sci. Upsal. 2: 283-288, t. 5	1775		
75	acc	0		Cycadaceae	Cycas cairnsiana	Cycas	cairnsiana	F.Muell.										Fragm. (Mueller) 10(83): 63, 121	1876	VU	Australia (Queensland)
