SPNUMBER	TAXSTAT	SYNOF	SYNCAT	FAMILY	SPECIES	GENUS	SP1	AUTHOR1	RANK1	SP2	AUTHOR2	RANK2	SP3	AUTHOR3	RANK3	SP4	AUTHOR4	CITATION	YEAR	IUCN	COUNTRY
220	syn	140	het	Cycadaceae	Cycas swamyi	Cycas	swamyi	Rita Singh & P.Radha										Bot. J. Linn. Soc. 158(3): 430-435	2008		
221	acc	0		Cycadaceae	Cycas szechuanensis	Cycas	szechuanensis	W.C.Cheng & L.K.Fu										Acta Phytotax. Sin. 13(4): 81, t. 1, figs. 7-8	1975	CR	China (Fujian)
222	syn	123	hom	Cycadaceae	Cycas szechuanensis subsp. fairylakea	Cycas	szechuanensis	W.C.Cheng & L.K.Fu	subsp.	fairylakea	(D.Yue Wang) N.Liu							Proc. Sixth Int. Conf. Cycad Biol.: 2	2004		
577	syn	221	hom	Cycadaceae	Cycas szechuanensis subsp. szechuanensis	Cycas	szechuanensis	W.C.Cheng & L.K.Fu	subsp.	szechuanensis								Proc. Sixth Int. Conf. Cycad Biol.: 1-4	2004		China (Fujian)
223	acc	0		Cycadaceae	Cycas taitungensis	Cycas	taitungensis	C.F.Shen, K.D.Hill, C.H.Tsou & C.J.Chen										Bot. Bull. Acad. Sin. 35(2): 135-138	1994	EN	China (Taiwan)
224	acc	0		Cycadaceae	Cycas taiwaniana	Cycas	taiwaniana	Carruth.										J. Bot. 31: 1-3, pl. 331	1893	EN	China (Fujian, Guangdong)
225	acc	0		Cycadaceae	Cycas tanqingii	Cycas	tanqingii	D.Yue Wang										Cycads China: 134, fig. 4	1996	NT	China (Yunnan), ?Vietnam (Lai Chau)
226	acc	0		Cycadaceae	Cycas tansachana	Cycas	tansachana	K.D.Hill & S.L.Yang										Brittonia 51(1): 65-66	1999	CR	Thailand (Saraburi)
227	acc	0		Cycadaceae	Cycas terryana	Cycas	terryana	P.I.Forst.										Austrobaileya 8(3): 356-363, t.1, figs. 1-4	2011	[VU]	Australia (Queensland)
228	acc	0		Cycadaceae	Cycas thouarsii	Cycas	thouarsii	R.Br. ex Gaudich.										Voy. Uranie, Bot.: 434	1826	LC	Comoros, Kenya, Madagascar, Mozambique, Seychelles, Tanzania
229	dub	0		Cycadaceae	Cycas tonkinensis	Cycas	tonkinensis	(L.Linden & Rodigas) Rodigas										Ill. Hort. 33: 27	1886		
230	acc	0		Cycadaceae	Cycas tropophylla	Cycas	tropophylla	K.D.Hill & P.K.Lôc										Bot. Rev. (Lancaster) 70(2): 168-170, fig. 10	2004	NT	Vietnam (Hai Phong, Quang Ninh)
231	sup	196	het	Cycadaceae	Cycas truncata	Cycas	truncata	de Laub.										Encephalartos 92: 17	2007		
232	acc	0		Cycadaceae	Cycas tuckeri	Cycas	tuckeri	K.D.Hill										Telopea 7(1): 20-23, fig. 10	1996	VU	Australia (Queensland)
233	syn	87	het	Cycadaceae	Cycas undulata	Cycas	undulata	Desf. ex Gaudich.										Voy. Uranie, Bot.: 434	1829		
234	acc	0		Cycadaceae	Cycas vespertilio	Cycas	vespertilio	A.Lindstr. & K.D.Hill										Telopea 12(1): 134-136, fig. 4	2008	[NT]	Philippines (Cebu, Iloilo, Leyte, Marinduque, Mindoro Oriental, Negros Oriental, Samar)
235	acc	0		Cycadaceae	Cycas wadei	Cycas	wadei	Merr.										Philipp. J. Sci. 60(3): 234-236, pls 1-4	1936	CR	Philippines (Palawan)
236	syn	104	hom	Cycadaceae	Cycas wallichii	Cycas	wallichii	Miq.										Monogr. Cycad.: 32	1842		
237	syn	207	het	Cycadaceae	Cycas xilingensis	Cycas	xilingensis	Hung T.Chang & Y.C.Zhong										Acta Sci. Nat. Univ. Sunyatseni 36(3): 69	1997		
238	acc	0		Cycadaceae	Cycas xipholepis	Cycas	xipholepis	K.D.Hill										Telopea 7(1): 32-33, fig. 15	1996	LC	Australia (Queensland)
239	acc	0		Cycadaceae	Cycas yorkiana	Cycas	yorkiana	K.D.Hill										Telopea 7(1): 18-19, fig. 8	1996	NT	Australia (Queensland)
240	acc	0		Cycadaceae	Cycas zambalensis	Cycas	zambalensis	Madulid & Agoo										Blumea 50(3): 519-522. fig. 1.	2005	CR	Philippines (Zambales)
241	acc	0		Cycadaceae	Cycas zeylanica	Cycas	zeylanica	(J.Schust.) A.Lindstr. & K.D.Hill										Novon 12(2): 238	2002	VU	India (Andaman and Nicobar Islands), S Sri Lanka
243	syn	244	het	Zamiaceae	Dioon aculeatum	Dioon	aculeatum	Lem.										Catalog. Vanhoutt. 27: 45	1846		
244	acc	0		Zamiaceae	Dioon angustifolium	Dioon	angustifolium	Miq.										Tijdschr. Wis- Natuurk. Wetensch. Eerste Kl. Kon. Ned. Inst. Wetensch. 1(1): 37-38	1847	VU	Mexico (Nuevo León, Tamaulipas)
245	acc	0		Zamiaceae	Dioon argenteum	Dioon	argenteum	T.J.Greg., Chemnick, Salas-Mor. & Vovides										Bot. J. Linn. Soc. 141(4): 471-476, figs. 1-8	2003	[VU]	Mexico (Oaxaca)
246	acc	0		Zamiaceae	Dioon califanoi	Dioon	califanoi	De Luca & Sabato										Brittonia 31(1): 170-172, figs. 2-3	1979	EN	Mexico (Oaxaca, Puebla)
247	acc	0		Zamiaceae	Dioon caputoi	Dioon	caputoi	De Luca, Sabato & Vázq.Torres										Brittonia 32(1): 44-46, figs. 3-4	1980	EN	Mexico (Oaxaca, Puebla)
248	acc	0		Zamiaceae	Dioon edule	Dioon	edule	Lindl.										Edwardss Bot. Reg. 29: misc. 59-60	1843	NT	Mexico (Hidalgo, Querétaro, San Luis Potosí, Tamaulipas, Veracruz)
249	syn	244	hom	Zamiaceae	Dioon edule f. angustifolium	Dioon	edule	Lindl.	f.	angustifolium	(Miq.) Miq.							Prodr. Syst. Cycad.: 10, 22	1861		
697	syn	248	hom	Zamiaceae	Dioon edule f. edule	Dioon	edule	Lindl.	f.	edule								Prodr. Syst. Cycad.: 10	1861		
250	syn	244	hom	Zamiaceae	Dioon edule subsp. angustifolium	Dioon	edule	Lindl.	subsp.	angustifolium	(Miq.) A.E.Murray							Kalmia 13: 5	1983		
698	syn	248	hom	Zamiaceae	Dioon edule subsp. edule	Dioon	edule	Lindl.	subsp.	edule								Kalmia 13: 5	1983		
251	syn	244	hom	Zamiaceae	Dioon edule var. angustifolium	Dioon	edule	Lindl.	var.	angustifolium	(Miq.) Miq.							Arch. Néerl. Sci. Exact. Nat. 3: 427	1868		
699	syn	248	hom	Zamiaceae	Dioon edule var. edule	Dioon	edule	Lindl.	var.	edule								Arch. Néerl. Sci. Exact. Nat. 3: 427	1868		
252	syn	248	het	Zamiaceae	Dioon edule var. lanuginosum	Dioon	edule	Lindl.	var.	lanuginosum	Wittm.							Gartenflora 48: 153	1899		
253	syn	257	het	Zamiaceae	Dioon edule var. latipinnium	Dioon	edule	Lindl.	var.	latipinnium	Dyer							Biol. Cent.-Amer., Bot. 3: 191, t. 81, figs. 1-3	1884		
254	syn	261	hom	Zamiaceae	Dioon edule var. sonorense	Dioon	edule	Lindl.	var.	sonorense	(De Luca, Sabato & Vázq.Torres) McVaugh & Pérez de la Rosa							Fl. Novo-Galiciana 17: 112	1992		
255	acc	0		Zamiaceae	Dioon holmgrenii	Dioon	holmgrenii	De Luca, Sabato & Vázq.Torres										Brittonia 33(4): 552-554, figs. 1-2	1981	EN	Mexico (Oaxaca)
256	syn	248	het	Zamiaceae	Dioon imbricatum	Dioon	imbricatum	Miq.										Tijdschr. Wis- Natuurk. Wetensch. Eerste Kl. Kon. Ned. Inst. Wetensch. 1(1): 36	1847		
257	acc	0		Zamiaceae	Dioon mejiae	Dioon	mejiae	Standl. & L.O.Williams										Ceiba 1(1): 36-38	1951	LC	Honduras (Colón, Olancho, Yoro)
258	acc	0		Zamiaceae	Dioon merolae	Dioon	merolae	De Luca, Sabato & Vázq.Torres										Brittonia 33(2): 180-184, figs. 2-3	1981	VU	Mexico (Chiapas, Oaxaca)
740	acc	0		Zamiaceae	Dioon planifolium	Dioon	planifolium	Salas-Mor., Chemnick & T.J.Greg.										Cact. Succ. J. (Los Angeles)  88(1): 35-42	2016	[VU]	Mexico (Oaxaca)
259	acc	0		Zamiaceae	Dioon purpusii	Dioon	purpusii	Rose										Contr. U.S. Natl. Herb. 12(7): 260-261	1909	VU	Mexico (Oaxaca)
260	acc	0		Zamiaceae	Dioon rzedowskii	Dioon	rzedowskii	De Luca, A.Moretti, Sabato & Vázq.Torres										Brittonia 32(2): 225-229	1980	EN	Mexico (Oaxaca)
261	acc	0		Zamiaceae	Dioon sonorense	Dioon	sonorense	(De Luca, Sabato & Vázq.Torres) Chemnick, T.J.Greg. & Salas-Mor.										Phytologia 83(1): 1-6 (1997 publ. 1998)	1998	EN	Mexico (Sinaloa, Sonora)
262	acc	0		Zamiaceae	Dioon spinulosum	Dioon	spinulosum	Dyer ex Eichler										Gart.-Zeitung (Berlin) 2: 411-413, 438-439, fig. 80	1883	EN	Mexico (Oaxaca, Veracruz)
263	acc	0		Zamiaceae	Dioon stevensonii	Dioon	stevensonii	Nic.-Mor. & Vovides										Syst. Biodivers. 7(1): 73-79, figs. 1-2	2009	[CR]	Mexico (Guerrero, Michoacán)
264	syn	248	het	Zamiaceae	Dioon strobilaceum	Dioon	strobilaceum	Lem. ex A.DC.										Prodr. [A. P. de Candolle] 16(2): 537	1868		
265	acc	0		Zamiaceae	Dioon tomasellii	Dioon	tomasellii	De Luca, Sabato & Vázq.Torres										Brittonia 36(3): 225-227, figs. 2-5	1984	VU	Mexico (Durango, Jalisco, Nayarit, Sinaloa)
266	syn	261	bas	Zamiaceae	Dioon tomasellii var. sonorense	Dioon	tomasellii	De Luca, Sabato & Vázq.Torres	var.	sonorense	De Luca, Sabato & Vázq.Torres							Brittonia 36(3): 226-227, figs. 2B, 3C, 5	1984		
700	syn	265	hom	Zamiaceae	Dioon tomasellii var. tomasellii	Dioon	tomasellii	De Luca, Sabato & Vázq.Torres	var.	tomasellii								Brittonia 36(3): 225-227	1984		
827	acc	0		Zamiaceae	Dioon vovidesii	Dioon	vovidesii	Gut.Ortega & Pérez-Farr.										Phytotaxa 369(2): 109. 2018 [epublished 13 Sep 2018]	2018	[EN]	Mexico (Sonora)
270	inv	0		Zamiaceae	Dipsacozamia mexicana	Dipsacozamia	mexicana	Liebm. ex Dyer										Biol. Cent.-Amer., Bot. 3: 192	1884		
269	syn	163	hom	Cycadaceae	Dyerocycas micholitzii	Dyerocycas	micholitzii	(Dyer) Nakai										Ord. Fam. Prof. Nakai: 208	1943		
428	syn	295	het	Zamiaceae	Encephalartos acanthus	Encephalartos	acanthus	Mast.										Gard. Chron., n.s. 10(261): 810	1878		
271	acc	0		Zamiaceae	Encephalartos aemulans	Encephalartos	aemulans	Vorster										S. African J. Bot. 56(2): 239-243	1990	CR	South Africa (KwaZulu-Natal)
272	acc	0		Zamiaceae	Encephalartos altensteinii	Encephalartos	altensteinii	Lehm.										Nov. Stirp. Pug. 6: 11, t. 4-5	1834	VU	South Africa (E Cape)
701	syn	272	hom	Zamiaceae	Encephalartos altensteinii var. altensteinii	Encephalartos	altensteinii	Lehm.	var.	altensteinii								Monogr. Cycad.: 52	1842		
590	syn	272	het	Zamiaceae	Encephalartos altensteinii var. angustifolius	Encephalartos	altensteinii	Lehm.	var.	angustifolius	Miq.							Monogr. Cycad.: 52	1842		
649	syn	361	het	Zamiaceae	Encephalartos altensteinii var. bispinnus	Encephalartos	altensteinii	Lehm.	var.	bispinnus	J.M.Wood							Ann. Rep. Bot. Gard. Natal: 8-9	1907		
612	syn	272	het	Zamiaceae	Encephalartos altensteinii var. distans	Encephalartos	altensteinii	Lehm.	var.	distans	Regel							Trudy Imp. S.-Peterburgsk. Bot. Sada 3(1): 114	1874		
636	syn	303	syn	Zamiaceae	Encephalartos altensteinii var. eriocephalus	Encephalartos	altensteinii	Lehm.	var.	eriocephalus	de Vriese							Nederl. Kruidk Arch. 1:171-175	1846		
619	syn	272	het	Zamiaceae	Encephalartos altensteinii var. grandis	Encephalartos	altensteinii	Lehm.	var.	grandis	Regel							Gartenflora 24: 40	1875		
617	syn	272	het	Zamiaceae	Encephalartos altensteinii var. macrophyllus	Encephalartos	altensteinii	Lehm.	var.	macrophyllus	Regel							Gartenflora 24: 41	1875		
613	syn	272	het	Zamiaceae	Encephalartos altensteinii var. parvifolius	Encephalartos	altensteinii	Lehm.	var.	parvifolius	Regel							Trudy Imp. S.-Peterburgsk. Bot. Sada 3(1): 114	1874		
611	syn	335	het	Zamiaceae	Encephalartos altensteinii var. paucidentatus	Encephalartos	altensteinii	Lehm.	var.	paucidentatus	Regel							Trudy Imp. S.-Peterburgsk. Bot. Sada 3(1): 114	1874		
591	syn	272	het	Zamiaceae	Encephalartos altensteinii var. semidentatus	Encephalartos	altensteinii	Lehm.	var.	semidentatus	Miq.							Monogr. Cycad.: 52	1842		
618	syn	272	het	Zamiaceae	Encephalartos altensteinii var. spinosior	Encephalartos	altensteinii	Lehm.	var.	spinosior	Regel							Gartenflora 24: 40	1875		
273	acc	0		Zamiaceae	Encephalartos aplanatus	Encephalartos	aplanatus	Vorster										S. African J. Bot. 62: 57-60	1996	VU	Swaziland
274	acc	0		Zamiaceae	Encephalartos arenarius	Encephalartos	arenarius	R.A.Dyer										J. S. African Bot. 22(1): 1-4	1956	EN	South Africa (E Cape)
275	acc	0		Zamiaceae	Encephalartos barteri	Encephalartos	barteri	Carruth. ex Miq.										Arch. Néerl. Sci. Exact. Nat. 3: 243	1868	VU	Benin (Bergu), Ghana, Nigeria (Plateau), ?Togo
276	acc	0		Zamiaceae	Encephalartos barteri subsp. allochrous	Encephalartos	barteri	Carruth. ex Miq.	subsp.	allochrous	L.E.Newton							J. Linn. Soc., Bot. 77(2): 125-129	1978	EN	Nigeria (Plateau)
578	acc	0		Zamiaceae	Encephalartos barteri subsp. barteri	Encephalartos	barteri	Carruth. ex Miq.	subsp.	barteri								J. Linn. Soc., Bot. 77(2): 125-129	1978	VU	Benin (Bergu), Ghana, Nigeria, ?Togo
277	syn	280	het	Zamiaceae	Encephalartos brachyphyllus	Encephalartos	brachyphyllus	Lehm. & de Vriese										Tijdschr. Natuurl. Gesch. Physiol. 4(4): 414, tt. 6-7	1838		
278	acc	0		Zamiaceae	Encephalartos brevifoliolatus	Encephalartos	brevifoliolatus	Vorster										S. African J. Bot. 62(1): 61-64	1996	EW	South Africa (Limpopo)
279	acc	0		Zamiaceae	Encephalartos bubalinus	Encephalartos	bubalinus	Melville										Kew Bull. 12(2): 252, fig. 4	1957	NT	Kenya (Narok), Tanzania (Arusha)
280	acc	0		Zamiaceae	Encephalartos caffer	Encephalartos	caffer	(Thunb.) Lehm.										Nov. Stirp. Pug. 6: 14	1834	NT	South Africa (E Cape)
625	syn	277	hom	Zamiaceae	Encephalartos caffer var. brachyphyllus	Encephalartos	caffer	(Thunb.) Lehm.	var.	brachyphyllus	(Lehm. & de Vriese) Miq.							Prodr. [A. P. de Candolle] 16(2): 531-532	1868		
702	syn	280	hom	Zamiaceae	Encephalartos caffer var. caffer	Encephalartos	caffer	(Thunb.) Lehm.	var.	caffer								Prodr. [A. P. de Candolle] 16(2): 532	1868		
609	syn	280	het	Zamiaceae	Encephalartos caffer var. integrifolius	Encephalartos	caffer	(Thunb.) Lehm.	var.	integrifolius	Regel							Trudy Imp. S.-Peterburgsk. Bot. Sada 3(1): 113	1874		
610	syn	280	het	Zamiaceae	Encephalartos caffer var. unidentatus	Encephalartos	caffer	(Thunb.) Lehm.	var.	unidentatus	Regel							Trudy Imp. S.-Peterburgsk. Bot. Sada 3(1): 113	1874		
281	acc	0		Zamiaceae	Encephalartos cerinus	Encephalartos	cerinus	Lavranos & D.L.Goode										Durban Mus. Novit. 14: 153 156	1989	CR	South Africa (KwaZulu-Natal)
282	acc	0		Zamiaceae	Encephalartos chimanimaniensis	Encephalartos	chimanimaniensis	R.A.Dyer & I.Verd.										Kirkia 7: 147-158	1969	EN	Mozambique (Manica), Zimbabwe (Manicaland)
283	acc	0		Zamiaceae	Encephalartos concinnus	Encephalartos	concinnus	R.A.Dyer & I.Verd.										Kirkia 7: 147-158	1969	EN	Zimbabwe (Matabeleland South, Midlands and Masvingo)
284	acc	0		Zamiaceae	Encephalartos cupidus	Encephalartos	cupidus	R.A.Dyer										Bothalia 10(2): 379-383	1971	CR	South Africa (Mpumalanga)
285	acc	0		Zamiaceae	Encephalartos cycadifolius	Encephalartos	cycadifolius	(Jacq.) Lehm.										Nov. Stirp. Pug. 6: 13	1834	LC	South Africa (E Cape)
703	syn	285	hom	Zamiaceae	Encephalartos cycadifolius var. cycadifolius	Encephalartos	cycadifolius	(Jacq.) Lehm.	var.	cycadifolius								Trudy Imp. S.-Peterburgsk. Bot. Sada 3(1): 111	1874		
606	syn	295	hom	Zamiaceae	Encephalartos cycadifolius var. friderici-guilielmi	Encephalartos	cycadifolius	(Jacq.) Lehm.	var.	friderici-guilielmi	(Lehm.) Regel							Trudy Imp. S.-Peterburgsk. Bot. Sada 3(1): 111	1874		
607	syn	285	het	Zamiaceae	Encephalartos cycadifolius var. glaber	Encephalartos	cycadifolius	(Jacq.) Lehm.	var.	glaber	Regel							Trudy Imp. S.-Peterburgsk. Bot. Sada 3(1): 111	1874		
624	inv	456	syn	Zamiaceae	Encephalartos cycadis	Encephalartos	cycadis	Sweet										Hort. Brit. [Sweet] ed. 3: 626	1839		
286	acc	0		Zamiaceae	Encephalartos delucanus	Encephalartos	delucanus	Malaisse, Sclavo & Crosiers										Ann. Gembloux 98(2): 153-155, fig. 1	1992	EN	Tanzania (Katavi)
601	syn	383	hom	Zamiaceae	Encephalartos denisonii	Encephalartos	denisonii	(C.Moore & F.Muell.) F.Muell.										Quart. J. Trans. Pharm. Soc. Victoria 2: 90	1859		
287	acc	0		Zamiaceae	Encephalartos dolomiticus	Encephalartos	dolomiticus	Lavranos & D.L.Goode										Bull. Jard. Bot. Natl. Belg. 58(1-2): 219-224	1988	CR	South Africa (Limpopo)
637	inv	404	syn	Zamiaceae	Encephalartos douglasii	Encephalartos	douglasii	F.Muell.										Syst. Census Austral. Pl. 1:110	1882		
648	syn	386	bas	Zamiaceae	Encephalartos dyeri	Encephalartos	dyeri	F.Muell.										Australas. Chem. Druggist 8:12	1885		
288	acc	0		Zamiaceae	Encephalartos dyerianus	Encephalartos	dyerianus	Lavranos & D.L.Goode										Bull. Jard. Bot. Natl. Belg. 58(1-2): 219-224	1988	CR	South Africa (Limpopo)
268	syn	319	het	Zamiaceae	Encephalartos elongatus	Encephalartos	elongatus	Lehm.										Tijdschr. Natuurl. Gesch. Physiol. 4(4): 419, pl. 8a	1838		
289	acc	0		Zamiaceae	Encephalartos equatorialis	Encephalartos	equatorialis	P.J.H.Hurter										S. African J. Bot. 61(4): 226-229	1995	CR	Uganda (Eastern)
290	acc	0		Zamiaceae	Encephalartos eugene-maraisii	Encephalartos	eugene-maraisii	I.Verd.										J. S. African Bot. 11(1): 1-3	1945	EN	South Africa (Limpopo)
642	syn	290	hom	Zamiaceae	Encephalartos eugene-maraisii subsp. eugene-maraisii	Encephalartos	eugene-maraisii	I.Verd.	subsp.	eugene-maraisii								Bull. Jard. Bot. Natl. Belg. 58(1-2): 219-224	1988		
291	syn	328	het	Zamiaceae	Encephalartos eugene-maraisii subsp. middelburgensis	Encephalartos	eugene-maraisii	I.Verd.	subsp.	middelburgensis	Lavranos & D.L.Goode							Bull. Jard. Bot. Natl. Belg. 58(1-2): 219-224	1988		
292	syn	285	het	Zamiaceae	Encephalartos eximius	Encephalartos	eximius	I.Verd.										Bothalia 6(2): 426	1954		
293	acc	0		Zamiaceae	Encephalartos ferox	Encephalartos	ferox	G.Bertol										Mem. Reale Accad. Sci. Ist. Bologna 3: 264-265	1851	NT	Mozambique (Gaza, Inhambane, Maputo), South Africa (KwaZulu-Natal)
659	acc	0		Zamiaceae	Encephalartos ferox subsp. emersus	Encephalartos	ferox	G.Bertol	subsp.	emersus	P.Rousseau, Vorster & A.E.van Wyk							Phytotaxa 204(2): 99-115	2015	[CR]	Mozambique (Inhambane)
658	acc	0		Zamiaceae	Encephalartos ferox subsp. ferox	Encephalartos	ferox	G.Bertol	subsp.	ferox								Phytotaxa 204(2): 99-115	2015	NT	Mozambique (Gaza, Inhambane, Maputo), South Africa (KwaZulu-Natal)
294	syn	341	het	Zamiaceae	Encephalartos flavistrobilus	Encephalartos	flavistrobilus	I.Turner & Sclavo										Biotechnol. Agron. Soc. Environm. 10(3): 181-183, figs. 1-4	2006		
596	syn	391	hom	Zamiaceae	Encephalartos fraseri	Encephalartos	fraseri	(Miq.) Miq.										Verslagen Meded. Afd. Natuurk. Kon. Akad. Wetensch. 15: 368	1863		
295	acc	0		Zamiaceae	Encephalartos friderici-guilielmi	Encephalartos	friderici-guilielmi	Lehm.										Nov. Stirp. Pug. 6: 8, tt. 1-3	1834	NT	South Africa (E Cape, KwaZulu-Natal)
296	acc	0		Zamiaceae	Encephalartos ghellinckii	Encephalartos	ghellinckii	Lem.										Ill. Hort. 14, misc.: 80-81; 15: pl. 567	1867	VU	South Africa (E Cape, KwaZulu-Natal)
362	syn	296	het	Zamiaceae	Encephalartos gracilis	Encephalartos	gracilis	Mast.										Gard. Chron. 25(14): 349	1868		
297	syn	288	het	Zamiaceae	Encephalartos graniticola	Encephalartos	graniticola	Vorster, Robbertse & S.van der Westh.										S. African J. Bot. 54(4): 363-366, figs. 1-2	1988		
298	acc	0		Zamiaceae	Encephalartos gratus	Encephalartos	gratus	Prain										Bull. Misc. Inform. Kew 1916: 181	1916	VU	Malawi (Mulanje), Mozambique (Zambézia)
704	syn	298	hom	Zamiaceae	Encephalartos gratus var. gratus	Encephalartos	gratus	Prain	var.	gratus								J. S. African Bot. 4: 153	1938		
638	syn	324	bas	Zamiaceae	Encephalartos gratus var. manikensis	Encephalartos	gratus	Prain	var.	manikensis	Gilliland							J. S. African Bot. 4: 153	1938		
299	acc	0		Zamiaceae	Encephalartos heenanii	Encephalartos	heenanii	R.A.Dyer										Bothalia 10(4): 539-546	1972	CR	South Africa (Mpumalanga), Swaziland
300	acc	0		Zamiaceae	Encephalartos hildebrandtii	Encephalartos	hildebrandtii	A.Braun & C.D.Bouché										Index Seminum Hort. Bot. Berol. 1874: 18	1874	NT	Kenya (Coast), Tanzania (Lushoto, Tanga, Zanzibar Island)
301	syn	300	het	Zamiaceae	Encephalartos hildebrandtii var. dentatus	Encephalartos	hildebrandtii	A.Braun & C.D.Bouché	var.	dentatus	Melville							Kew Bull. 12(2): 248	1957		
643	syn	300	hom	Zamiaceae	Encephalartos hildebrandtii var. hildebrandtii	Encephalartos	hildebrandtii	A.Braun & C.D.Bouché	var.	hildebrandtii								Kew Bull. 12(2): 248	1957		
302	acc	0		Zamiaceae	Encephalartos hirsutus	Encephalartos	hirsutus	P.J.H.Hurter										S. African J. Bot. 62(1): 46-48, fig. 1	1996	CR	South Africa (Limpopo)
303	acc	0		Zamiaceae	Encephalartos horridus	Encephalartos	horridus	(Jacq.) Lehm.										Nov. Stirp. Pug. 6: 14	1834	EN	South Africa (E Cape)
633	syn	631	hom	Zamiaceae	Encephalartos horridus var. hallianus	Encephalartos	horridus	(Jacq.) Lehm.	var.	hallianus	(de Vriese) Miq.							Monogr. Cycad.: 58-59	1842		
705	syn	303	hom	Zamiaceae	Encephalartos horridus var. horridus	Encephalartos	horridus	(Jacq.) Lehm.	var.	horridus								Ann. Sci. Nat., Bot. ser. 2 10: 367	1838		
635	syn	492	hom	Zamiaceae	Encephalartos horridus var. lanuginosus	Encephalartos	horridus	(Jacq.) Lehm.	var.	lanuginosus	(Jacq.) Miq.							Ann. Sci. Nat., Bot. ser. 2 10: 367	1838		
626	sup	316	hom	Zamiaceae	Encephalartos horridus var. latifrons	Encephalartos	horridus	(Jacq.) Lehm.	var.	latifrons	(Lehm.) J.Schust.							in Engler, Pflanzenr. 99: 117	1932		
634	syn	316	hom	Zamiaceae	Encephalartos horridus var. latifrons	Encephalartos	horridus	(Jacq.) Lehm.	var.	latifrons	(Lehm.) Miq.							Monogr. Cycad.: 59	1842		
627	syn	331	hom	Zamiaceae	Encephalartos horridus var. nanus	Encephalartos	horridus	(Jacq.) Lehm.	var.	nanus	(Lehm.) J.Schust.							in Engler, Pflanzenr. 99: 117	1932		
304	syn	353	bas	Zamiaceae	Encephalartos horridus var. trispinosus	Encephalartos	horridus	(Jacq.) Lehm.	var.	trispinosus	Hook.							Bot. Mag. 89: t. 5371	1863		
628	sup	631	hom	Zamiaceae	Encephalartos horridus var. van-hallii	Encephalartos	horridus	(Jacq.) Lehm.	var.	van-hallii	(de Vriese) J.Schust.							in Engler, Pflanzenr. 99: 117	1932		
305	acc	0		Zamiaceae	Encephalartos humilis	Encephalartos	humilis	I.Verd.										Bothalia 6(1): 220, 241, pl. 3	1951	VU	South Africa (Mpumalanga)
306	syn	289	het	Zamiaceae	Encephalartos imbricans	Encephalartos	imbricans	Vorster										Novon 5(4): 388, figs. 2-5	1995		
307	acc	0		Zamiaceae	Encephalartos inopinus	Encephalartos	inopinus	R.A.Dyer										Bothalia 8(2): 169-170	1964	CR	South Africa (Limpopo)
308	acc	0		Zamiaceae	Encephalartos ituriensis	Encephalartos	ituriensis	Bamps & Lisowski										Mem. New York Bot. Gard. 57: 152-155	1990	NT	Democratic Republic of Congo (Orientale)
309	syn	310	het	Zamiaceae	Encephalartos kanga	Encephalartos	kanga	Pócs & Q.Luke										J. E. Afr. Nat. Hist. 96(2): 193-201	2007		Tanzania (Morogoro)
310	acc	0		Zamiaceae	Encephalartos kisambo	Encephalartos	kisambo	Faden & Beentje										Utafiti 2(1): 7-10	1989	EN	Kenya (Taita-Taveta), Tanzania (Kilimanjaro, ?Morogoro)
311	syn	293	het	Zamiaceae	Encephalartos kosiensis	Encephalartos	kosiensis	Hutch.										Bull. Misc. Inform. Kew 1932: 512	1932		
312	acc	0		Zamiaceae	Encephalartos laevifolius	Encephalartos	laevifolius	Stapf & Burtt Davy										Man. Pl. Transvaal   1: 40, 99	1926	CR	South Africa (E Cape, KwaZulu-Natal, Limpopo, Mpumalanga), Swaziland
313	acc	0		Zamiaceae	Encephalartos lanatus	Encephalartos	lanatus	Stapf & Burtt Davy										Man. Pl. Transvaal  1: 40, 99, fig. 4d	1926	NT	South Africa (Gauteng, Mpumalanga)
314	syn	492	hom	Zamiaceae	Encephalartos lanuginosus	Encephalartos	lanuginosus	(Jacq.) Lehm.										Nov. Stirp. Pug. 6: 14	1834		
706	syn	314	hom	Zamiaceae	Encephalartos lanuginosus var. lanuginosus	Encephalartos	lanuginosus		var.	lanuginosus								Monogr. Cycad.: 57	1842		
594	syn	352	het	Zamiaceae	Encephalartos lanuginosus var. tridens	Encephalartos	lanuginosus	(Jacq.) Lehm.	var.	tridens	Miq.							Monogr. Cycad.: 57	1842		
315	inv	493	syn	Zamiaceae	Encephalartos latifolius	Encephalartos	latifolius	Sweet										Hort. Brit. [Sweet] ed. 3: 626	1839		
316	acc	0		Zamiaceae	Encephalartos latifrons	Encephalartos	latifrons	Lehm.										Tijdschr. Natuurl. Gesch. Physiol. 4(4): 424, t.9	1838	CR	South Africa (E Cape)
317	acc	0		Zamiaceae	Encephalartos laurentianus	Encephalartos	laurentianus	De Wild.										Ann. Mus. Congo Belge, Bot. sér. 5, 1(1): 10, t. 25	1903	NT	Angola, Democratic Republic of Congo
318	acc	0		Zamiaceae	Encephalartos lebomboensis	Encephalartos	lebomboensis	I.Verd.										Fl. Pl. Africa 27: pls. 1078-1079	1949	EN	Mozambique, South Africa (KwaZulu-Natal), Swaziland
